Date,Open,High,Low,Close,Adj Close,Volume
2016-11-16,14707.900391,14734.200195,14672.799805,14733.200195,14733.200195,223987600
2016-11-17,14739.299805,14852.400391,14738.599609,14826.099609,14826.099609,258580500
2016-11-18,14810.700195,14872.200195,14797.900391,14864.000000,14864.000000,192168000
2016-11-21,14928.900391,15041.099609,14928.900391,15039.900391,15039.900391,212035000
2016-11-22,15074.200195,15112.700195,15034.500000,15100.400391,15100.400391,220581500
2016-11-23,15026.700195,15111.900391,15026.700195,15080.900391,15080.900391,216007400
2016-11-24,15082.599609,15121.700195,15067.400391,15075.200195,15075.200195,69559100
2016-11-25,15092.400391,15126.500000,15059.299805,15075.400391,15075.400391,129196100
2016-11-28,15064.200195,15069.099609,14996.900391,15015.400391,15015.400391,189238400
2016-11-29,14972.200195,15014.700195,14941.299805,14999.799805,14999.799805,192463200
2016-11-30,15118.400391,15141.000000,15076.500000,15082.900391,15082.900391,367857700
2016-12-01,15138.599609,15149.500000,15014.799805,15027.500000,15027.500000,284152100
2016-12-02,15014.900391,15100.900391,15000.599609,15052.500000,15052.500000,198304700
2016-12-05,15081.000000,15141.000000,15075.200195,15095.200195,15095.200195,227069700
2016-12-06,15098.500000,15137.700195,15080.700195,15125.799805,15125.799805,197775600
2016-12-07,15129.000000,15249.200195,15124.200195,15237.799805,15237.799805,220647300
2016-12-08,15251.200195,15312.799805,15244.299805,15295.200195,15295.200195,210441500
2016-12-09,15302.299805,15347.700195,15300.599609,15312.200195,15312.200195,209885700
2016-12-12,15340.900391,15374.299805,15286.500000,15287.700195,15287.700195,238602200
2016-12-13,15331.000000,15414.599609,15315.700195,15385.299805,15385.299805,226345800
2016-12-14,15358.700195,15365.400391,15195.099609,15197.200195,15197.200195,288274400
2016-12-15,15185.500000,15271.200195,15176.000000,15218.299805,15218.299805,276846800
2016-12-16,15292.900391,15302.000000,15234.200195,15252.200195,15252.200195,635485600
2016-12-19,15270.400391,15303.900391,15254.000000,15269.900391,15269.900391,206908400
2016-12-20,15289.099609,15324.900391,15281.299805,15293.000000,15293.000000,198547600
2016-12-21,15301.299805,15328.900391,15297.299805,15305.900391,15305.900391,144851200
2016-12-22,15313.299805,15345.099609,15299.900391,15335.200195,15335.200195,150279900
2016-12-23,15348.500000,15363.400391,15328.200195,15328.200195,15328.200195,113543700
2016-12-28,15375.099609,15411.900391,15341.200195,15361.099609,15361.099609,150188800
2016-12-29,15366.500000,15430.400391,15364.200195,15422.099609,15422.099609,143572300
2016-12-30,15432.599609,15432.599609,15276.799805,15287.599609,15287.599609,151033900
2017-01-03,15366.799805,15450.299805,15340.000000,15403.000000,15403.000000,201117500
2017-01-04,15433.900391,15520.599609,15412.500000,15516.799805,15516.799805,215081200
2017-01-05,15542.099609,15621.400391,15537.400391,15586.599609,15586.599609,247712500
2017-01-06,15562.500000,15562.900391,15477.299805,15496.099609,15496.099609,198912100
2017-01-09,15475.500000,15475.500000,15382.000000,15389.000000,15389.000000,186465200
2017-01-10,15422.700195,15459.099609,15422.700195,15426.299805,15426.299805,218071500
2017-01-11,15457.599609,15494.099609,15404.299805,15491.500000,15491.500000,247770500
2017-01-12,15499.299805,15499.299805,15380.099609,15418.200195,15418.200195,240679500
2017-01-13,15419.599609,15513.900391,15403.400391,15497.299805,15497.299805,188584200
2017-01-16,15494.900391,15505.099609,15442.700195,15479.299805,15479.299805,73294800
2017-01-17,15497.900391,15500.400391,15430.900391,15441.400391,15441.400391,207465500
2017-01-18,15430.900391,15450.099609,15366.200195,15397.900391,15397.900391,232023600
2017-01-19,15411.599609,15452.200195,15397.299805,15409.799805,15409.799805,183536700
2017-01-20,15467.700195,15573.200195,15467.700195,15547.900391,15547.900391,209609500
2017-01-23,15531.000000,15531.000000,15421.200195,15480.099609,15480.099609,189354900
2017-01-24,15489.200195,15622.099609,15467.299805,15610.700195,15610.700195,257478800
2017-01-25,15631.299805,15674.299805,15625.299805,15643.799805,15643.799805,225249100
2017-01-26,15634.500000,15652.200195,15590.200195,15615.500000,15615.500000,196639700
